rank,name,total_score,scenery_score,experience_score,accessibility_score,permit_score,ranking_notes,region,description,latitude,longitude,difficulty,distance_miles,elevation_gain_ft,peak_elevation_ft,permit_url,permit_type,permit_advance_days,permit_open_time,permit_cost,permit_entry_point,permit_notes,trail_info_url
13,Chickenfoot Lake,72,24,19,19,10,"Little Lakes Valley gem, easy high alpine",Eastern Sierra - Little Lakes Valley,"Part of the stunning Little Lakes Valley chain, Chickenfoot Lake sits at nearly 11,000 feet with minimal elevation gain from the highest trailhead in the Sierra (Mosquito Flat). Perfect for high altitude acclimatization with easy terrain.",37.4289,-118.7456,easy,3.5,500,10761,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Mono Pass,Inyo National Forest permit. Very competitive permits - book exactly 6 months out. Bear canister REQUIRED. Trailhead parking fills early.,https://www.alltrails.com/trail/us/california/little-lakes-valley-to-gem-lakes
14,Cottonwood Lakes,72,24,20,16,12,"11,000 ft alpine, Golden Trout Wilderness",Eastern Sierra - Golden Trout Wilderness,"High alpine lakes at over 11,000 feet in the Golden Trout Wilderness, accessed via Horseshoe Meadow. Stunning views of the Sierra crest and excellent acclimatization for higher altitude adventures. Lake #3 offers the best camping.",36.4731,-118.1729,moderate,5.5,1300,11105,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Cottonwood Lakes,"Inyo National Forest permit. 60% quota released 6 months ahead, 40% released 2 weeks ahead at 7am PT. Bear canister REQUIRED. No campfires.",https://www.alltrails.com/trail/us/california/cottonwood-lakes-trail
15,Hilton Lakes,72,22,20,17,13,"Less crowded chain, good fishing",Eastern Sierra - John Muir Wilderness,"A spectacular chain of alpine lakes tucked into a granite cirque below Mount Huntington. Less crowded than nearby destinations, Hilton Lakes offers excellent fishing, stunning mountain views, and peaceful camping in classic High Sierra terrain.",37.4312,-118.8234,moderate,5,1700,10400,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Hilton Lakes,Inyo National Forest permit. Trailhead near Rock Creek. Bear canister REQUIRED. Less competitive than nearby Bishop Pass permits.,https://www.alltrails.com/trail/us/california/hilton-lakes-trail
16,Matterhorn Canyon,72,26,22,12,12,"Remote Yosemite, Matterhorn Peak views",Yosemite Wilderness,A remote and spectacular canyon in northern Yosemite with stunning views of Matterhorn Peak. Less traveled than other Yosemite destinations.,38.0912,-119.3789,strenuous,10,3200,9400,https://www.recreation.gov/permits/445859,rolling,168,07:00,5,Twin Lakes,Yosemite Wilderness permit via Twin Lakes. Remote and challenging. Bear canister REQUIRED. Multi-day trip recommended.,
17,Sabrina Basin (Blue Lake),72,26,20,15,11,"Multiple lake options, classic Bishop area",Eastern Sierra - John Muir Wilderness,"A stunning alpine basin with multiple lakes including Blue Lake, Donkey Lake, and Baboon Lakes. Accessed via Lake Sabrina with spectacular granite scenery.",37.2123,-118.6123,moderate,3,2400,10400,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Sabrina,Inyo National Forest permit. Bishop area trailhead. Bear canister REQUIRED. Many lake options for basecamp.,https://www.alltrails.com/trail/us/california/blue-lake-trail
18,Duck Lake,71,24,19,17,11,"Glacial cirque, Mammoth access, Purple Lake option",Eastern Sierra - John Muir Wilderness,A beautiful high alpine lake accessed via Duck Pass from Coldwater Campground near Mammoth. Stunning views and excellent fishing in a glacial cirque.,37.5234,-118.9567,moderate,5.2,2300,10450,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Duck Pass,Inyo National Forest permit. Popular Mammoth Lakes trailhead. Bear canister REQUIRED. Can continue to Purple Lake.,https://www.alltrails.com/trail/us/california/duck-lake-trail
19,Long Lake (Bishop Creek),71,25,19,17,10,"Inconsolable Range views, lake chain",Eastern Sierra - John Muir Wilderness,"A gorgeous alpine lake along the Bishop Pass Trail with stunning views of the Inconsolable Range. Part of a chain of lakes including Saddlerock, Bishop, and Chocolate Lakes for excellent day hiking options.",37.1678,-118.5689,moderate,3,2100,10750,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Bishop Pass,Inyo National Forest permit. Popular trailhead - competitive permits. Bear canister REQUIRED. Excellent fishing.,https://www.alltrails.com/trail/us/california/long-lake-loop-trail
20,Mosquito Lakes,70,21,19,18,12,"Mineral King chain, 5 lakes to explore",Sierra Nevada - Sequoia,"A chain of five stunning alpine lakes in the Mineral King area of Sequoia National Park. The second lake offers excellent camping with granite surroundings and clear, cold water. Classic High Sierra scenery.",36.4512,-118.6789,moderate,3.6,2377,9600,https://www.recreation.gov/permits/445857,rolling,180,07:00,5,Mosquito Lakes #1-5,Sequoia & Kings Canyon permit. Bear canister required. Mineral King road is winding and slow - allow extra time.,https://www.alltrails.com/trail/us/california/mosquito-lakes-trail
21,Virginia Lakes Basin,70,20,18,20,12,"Very easy access, fall colors",Eastern Sierra - Hoover Wilderness,A stunning high alpine basin with multiple lakes surrounded by dramatic peaks. Short approach from Virginia Lakes trailhead makes this accessible while still feeling remote. Options for day hikes to Summit Lake and beyond.,38.0456,-119.2456,easy,2.5,800,9800,https://www.recreation.gov/permits/445856,rolling,180,07:00,8,Virginia Lakes,Hoover Wilderness permit. Less crowded than Green Creek area. Bear canister REQUIRED. Beautiful fall colors in September.,
22,East Lake,69,21,19,17,12,"Green Creek trail, good fishing",Eastern Sierra - Hoover Wilderness,A stunning alpine lake accessed via the Green Creek Trail in the Hoover Wilderness. Dramatic mountain backdrop with excellent fishing and opportunities for day hikes to nearby West Lake and Green Lake.,38.0892,-119.3748,moderate,4,1576,9476,https://www.recreation.gov/permits/445856,rolling,180,07:00,8,Green Creek,"Hoover Wilderness permit. 50% quota reservable in advance, 50% available 3 days before. Bear canister REQUIRED. Max group size 15.",https://www.alltrails.com/trail/us/california/green-lake-and-east-lake-trail
23,Green Lake,69,20,18,19,12,"Easy Hoover access, good intro trip",Eastern Sierra - Hoover Wilderness,"A beautiful lake along the Green Creek Trail, closer to the trailhead than East Lake. Offers excellent camping, fishing, and stunning mountain views. Great option for a shorter approach or first night camp.",38.0978,-119.2756,easy,2.9,1100,8950,https://www.recreation.gov/permits/445856,rolling,180,07:00,8,Green Creek,"Hoover Wilderness permit. Same system as East Lake - 50% advance, 50% available 3 days before. Bear canister REQUIRED.",https://www.alltrails.com/trail/us/california/green-lake-and-east-lake-trail
24,Lower Velma Lake,69,22,19,17,11,"Classic Desolation, multi-lake access",Desolation Wilderness,One of the classic Desolation Wilderness destinations with stunning granite basins and crystal-clear water. Easy access to Middle and Upper Velma Lakes for day hikes. Popular but spacious camping areas.,38.9456,-120.1234,moderate,5,1824,7785,https://www.recreation.gov/permits/233261,rolling,180,07:00,10,Bayview,Desolation Wilderness permit. Zone quota system - book your destination zone. Bear canister REQUIRED. No campfires allowed.,https://www.alltrails.com/trail/us/california/velma-lakes-trail
25,"Susie Lake, Desolation Wilderness",69,19,17,19,14,Easy Desolation intro,Desolation Wilderness,"Susie Lake is a stunning alpine lake nestled within the scenic Desolation Wilderness, known for its crystal-clear waters and breathtaking mountain views. The area offers a serene escape for backpackers, with opportunities for fishing, swimming, and exploring the surrounding granite landscapes. The trail to Susie Lake is well-maintained, making it accessible for hikers of varying skill levels.",38.8475,-120.0206,moderate,3.5,800,6500,https://www.recreation.gov/permits/2346,rolling,168,07:00,5,Glen Alpine,A wilderness permit is required for overnight stays. Bear canisters are mandatory in this area due to wildlife activity. Quotas are in place during peak season.,
26,Gilmore Lake,68,22,18,17,11,"Tallac day hike option, Tahoe views",Desolation Wilderness,A beautiful alpine lake nestled at the base of Mt. Tallac with stunning views of Lake Tahoe from the surrounding ridges. Popular but less crowded than Velma Lakes. Great base camp for day hikes.,38.9156,-120.0847,moderate,4.3,1700,8300,https://www.recreation.gov/permits/233261,rolling,180,07:00,10,Glen Alpine,Desolation Wilderness permit. Bear canister REQUIRED. No campfires. Can combine with Mt. Tallac summit day hike.,https://www.alltrails.com/trail/us/california/gilmore-lake
27,Heather Lake,68,20,18,18,12,"Lakes Trail chain, Sequoia classic",Sierra Nevada - Sequoia,"A beautiful alpine lake along the Lakes Trail in Sequoia National Park, part of a chain that includes Aster and Pear Lakes. Offers excellent camping with options to explore the Tablelands and Silliman Crest.",36.5789,-118.7256,moderate,4.2,1700,9200,https://www.recreation.gov/permits/445857,rolling,180,07:00,5,Lakes Trail (Wolverton),Sequoia & Kings Canyon permit. Part of the Lakes Trail chain. Bear canister required. Can be combined with Pear Lake visit.,
28,Purple Lake,68,23,20,14,11,"JMT lake, great basecamp",Eastern Sierra - John Muir Wilderness,"A scenic alpine lake along the John Muir Trail, nestled in a beautiful cirque with excellent camping spots. Popular overnight destination from Duck Pass.",37.5456,-118.9234,moderate,7.8,3100,9900,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Duck Pass,Inyo National Forest permit. On the JMT. Bear canister REQUIRED. Great basecamp for exploring the area.,
29,Bear Lake (Emigrant),67,15,15,17,20,"FREE permits, self-issue, no hassle",Emigrant Wilderness,"A picturesque alpine lake in the Emigrant Wilderness with granite domes and excellent swimming. Less traveled than other Sierra destinations, offering solitude and classic High Sierra beauty without permit hassles.",38.2134,-119.7456,moderate,4,1400,8600,https://www.fs.usda.gov/r05/stanislaus/permits/wilderness-permits,rolling,7,08:00,0,,FREE permit - no quota system! Self-issue available 24/7 at Summit Ranger Station. One-night camping limit at Bear Lake.,https://www.alltrails.com/trail/us/california/crabtree-trail-to-bear-lake
30,Emigrant Lake,67,16,16,17,18,"FREE permits, no quotas, good intro",Emigrant Wilderness,The namesake lake of the Emigrant Wilderness offers a relatively easy approach with classic granite Sierra scenery. Less crowded than nearby wilderness areas with excellent fishing and multiple nearby lakes for exploration.,38.1456,-119.7847,moderate,4,1200,8800,https://www.fs.usda.gov/r05/stanislaus/permits/wilderness-permits,rolling,7,08:00,0,,FREE permit - no quota system! Can get permit by phone up to 7 days ahead or self-issue at Summit Ranger Station 24/7. One of the easiest Sierra permits.,https://www.alltrails.com/trail/us/california/caples-lake-to-emigrant-lake
31,Cliff Lake,65,17,17,17,14,"Dinkey Lakes, less crowded wilderness",Sierra Nevada - Dinkey Lakes Wilderness,A beautiful alpine lake nestled beneath dramatic granite cliffs in the Dinkey Lakes Wilderness. The area features numerous interconnected lakes perfect for day hikes from base camp. Excellent fishing and swimming.,37.1489,-119.1167,moderate,5,1358,9485,https://www.recreation.gov/permits/445858,rolling,180,07:00,5,Dinkey Lakes,Sierra National Forest permit. Bear canister recommended. Less crowded than nearby wilderness areas.,https://www.alltrails.com/trail/us/california/cliff-lake-via-dinkey-lakes-trail
32,Lake Virginia,65,22,21,11,11,"JMT, Fish Creek hot springs nearby",Eastern Sierra - John Muir Wilderness,A beautiful lake along the John Muir Trail between Purple Lake and Tully Hole. Excellent camping with mountain views and access to Fish Creek hot springs.,37.4789,-118.9012,moderate,9.5,3500,10300,https://www.recreation.gov/permits/233262,rolling,182,07:00,5,Duck Pass,Inyo National Forest permit. On the JMT south of Purple Lake. Bear canister REQUIRED. Fish Creek hot springs nearby.,
33,Bearpaw Meadow Campground,63,18,18,15,12,"High Sierra Trail, meadow camping",Sequoia National Park - Kings Canyon National Park,"Bearpaw Meadow Campground is a picturesque destination nestled in the heart of the Sierra Nevada, surrounded by towering trees and stunning mountain vistas. This serene campground offers a perfect base for exploring the nearby High Sierra trails, including the iconic Rae Lakes Loop. Backpackers are drawn to its lush meadows and the tranquil sound of flowing streams, making it an ideal spot for relaxation and adventure.",36.5925,-118.5564,moderate,11.4,1200,7400,https://www.recreation.gov/permits/233731,rolling,168,07:00,5,High Sierra Trail,A wilderness permit is required for overnight camping. Bear canisters are recommended due to wildlife activity. Quotas may apply during peak season.,https://www.alltrails.com/trail/us/california/bearpaw-meadow
34,Redwood Canyon,63,14,16,19,14,"Unique sequoia grove, not alpine",Sierra Nevada - Kings Canyon,"A unique grove of giant sequoias in Kings Canyon National Park. The canyon offers a peaceful escape with towering redwoods, seasonal streams, and excellent wildlife viewing. Less crowded than the main groves.",36.6892,-118.9234,easy,3.6,1078,6300,https://www.recreation.gov/permits/445857,rolling,180,07:00,5,Redwood Canyon,Sequoia & Kings Canyon permit. Bear canister required. 6-month advance booking.,https://www.alltrails.com/trail/us/california/redwood-canyon-trail
35,Tamarack Lake,63,18,17,17,11,"Echo Lakes access, good swimming",Desolation Wilderness,"A beautiful lake accessible via the Echo Lakes Trail, featuring classic Desolation granite scenery and excellent swimming. Good alternative to more crowded destinations.",38.8567,-120.0567,moderate,4,1400,7800,https://www.recreation.gov/permits/233261,rolling,180,07:00,10,Echo Lakes,Desolation Wilderness permit. Can use Echo Lakes water taxi to shorten approach. Bear canister REQUIRED. No campfires.,https://www.alltrails.com/trail/us/california/tamarack-lake-trail
