name,region,description,latitude,longitude,difficulty,distance_miles,elevation_gain_ft,peak_elevation_ft,permit_url,permit_type,permit_advance_days,permit_open_time,permit_cost,permit_entry_point,permit_notes,trail_info_url
"Mosquito Lakes","Sierra Nevada - Sequoia","A chain of five stunning alpine lakes in the Mineral King area of Sequoia National Park. Classic High Sierra scenery.",36.4512,-118.6789,moderate,4,2377,9600,"https://www.recreation.gov/permits/445857",rolling,180,07:00,5,"Mosquito Lakes #1-5","Sequoia & Kings Canyon permit. Bear canister required. Mineral King road is winding and slow - allow extra time.","https://www.alltrails.com/trail/us/california/mosquito-lakes-trail"
"Pear Lake","Sierra Nevada - Sequoia","A stunning alpine lake in the Tablelands area of Sequoia National Park. Dramatic granite cirque setting and deep blue water.",36.5689,-118.7156,moderate,6.4,2300,9510,"https://www.recreation.gov/permits/445857",rolling,180,07:00,5,"Lakes Trail (Wolverton)","Sequoia & Kings Canyon permit. Popular destination - book early. Bear canister required. Winter ski hut at Pear Lake.",
"Redwood Canyon","Sierra Nevada - Kings Canyon","A unique grove of giant sequoias in Kings Canyon National Park. Peaceful escape with towering redwoods and excellent wildlife viewing.",36.6892,-118.9234,easy,3.6,1078,6300,"https://www.recreation.gov/permits/445857",rolling,180,07:00,5,"Redwood Canyon","Sequoia & Kings Canyon permit. Bear canister required. 6-month advance booking.","https://www.alltrails.com/trail/us/california/redwood-canyon-trail"
"Susie Lake","Desolation Wilderness","Susie Lake is a stunning alpine lake nestled within the scenic Desolation Wilderness, known for its crystal-clear waters and breathtaking mountain views.",38.8475,-120.0206,moderate,3.5,800,7900,"https://www.recreation.gov/permits/233261",rolling,180,07:00,10,"Glen Alpine","Desolation Wilderness permit. Bear canisters are mandatory. Quotas are in place during peak season.",
"Thousand Island Lake","Eastern Sierra - Ansel Adams Wilderness","One of the most iconic alpine lakes in the Sierra with countless granite islands and Banner Peak as a backdrop. A bucket-list destination on the JMT/PCT.",37.6978,-119.1956,moderate,8.1,2900,9833,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"High Trail","Inyo National Forest permit via Agnew Meadows. Very competitive permits. Bear canister REQUIRED.",
"Virginia Lakes Basin","Eastern Sierra - Hoover Wilderness","A stunning high alpine basin with multiple lakes surrounded by dramatic peaks. Short approach makes this accessible while still feeling remote.",38.0456,-119.2456,easy,2.5,800,9800,"https://www.recreation.gov/permits/445856",rolling,180,07:00,8,"Virginia Lakes","Hoover Wilderness permit. Less crowded than Green Creek area. Bear canister REQUIRED. Beautiful fall colors in September.",
"Rae Lakes","Sierra Nevada - Kings Canyon","One of the most stunning alpine lake chains in the Sierra, featuring crystal-clear turquoise waters surrounded by dramatic peaks including Fin Dome. A highlight of the famous Rae Lakes Loop.",36.8123,-118.4156,strenuous,12.5,4000,10550,"https://www.recreation.gov/permits/445857",rolling,180,07:00,5,"Woods Creek","Sequoia & Kings Canyon permit. Part of the iconic Rae Lakes Loop. Bear canister REQUIRED. Very competitive permits.","https://www.alltrails.com/trail/us/california/rae-lakes-loop"
"Evolution Basin","Eastern Sierra - John Muir Wilderness","A spectacular high alpine basin along the John Muir Trail, featuring Evolution Lake and stunning views of the Evolution Range. One of the most beautiful stretches of the JMT.",37.1567,-118.6789,strenuous,15,5200,11000,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Piute Pass","Inyo National Forest permit. Remote and challenging. Bear canister REQUIRED. Multi-day trip recommended.","https://www.alltrails.com/trail/us/california/john-muir-trail-to-evolution-basin"
"Duck Lake","Eastern Sierra - John Muir Wilderness","A beautiful high alpine lake accessed via Duck Pass from Coldwater Campground near Mammoth. Stunning views and excellent fishing in a glacial cirque.",37.5234,-118.9567,moderate,5.2,2300,10450,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Duck Pass","Inyo National Forest permit. Popular Mammoth Lakes trailhead. Bear canister REQUIRED. Can continue to Purple Lake.","https://www.alltrails.com/trail/us/california/duck-lake-trail"
"Purple Lake","Eastern Sierra - John Muir Wilderness","A scenic alpine lake along the John Muir Trail, nestled in a beautiful cirque with excellent camping spots. Popular overnight destination from Duck Pass.",37.5456,-118.9234,moderate,7.8,3100,9900,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Duck Pass","Inyo National Forest permit. On the JMT. Bear canister REQUIRED. Great basecamp for exploring the area.",
"Garnet Lake","Eastern Sierra - Ansel Adams Wilderness","A stunning lake beneath Banner Peak and Mt. Ritter, one of the most scenic spots in the Ansel Adams Wilderness. Less crowded than nearby Thousand Island Lake.",37.6834,-119.2012,moderate,7.5,2400,9680,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"High Trail","Inyo National Forest permit. Adjacent to Thousand Island Lake. Bear canister REQUIRED. Excellent swimming.","https://www.alltrails.com/trail/us/california/garnet-lake-trail"
"Sabrina Basin (Blue Lake)","Eastern Sierra - John Muir Wilderness","A stunning alpine basin with multiple lakes including Blue Lake, Donkey Lake, and Baboon Lakes. Accessed via Lake Sabrina with spectacular granite scenery.",37.2123,-118.6123,moderate,6.2,2400,10400,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Sabrina","Inyo National Forest permit. Bishop area trailhead. Bear canister REQUIRED. Many lake options for basecamp.","https://www.alltrails.com/trail/us/california/blue-lake-trail"
"Tamarack Lake","Desolation Wilderness","A beautiful lake accessible via the Echo Lakes Trail, featuring classic Desolation granite scenery and excellent swimming. Good alternative to more crowded destinations.",38.8567,-120.0567,moderate,5.5,1400,7800,"https://www.recreation.gov/permits/233261",rolling,180,07:00,10,"Echo Lakes","Desolation Wilderness permit. Can use Echo Lakes water taxi to shorten approach. Bear canister REQUIRED. No campfires.","https://www.alltrails.com/trail/us/california/tamarack-lake-trail"
"20 Lakes Basin","Eastern Sierra - Hoover Wilderness","A stunning collection of alpine lakes near Saddlebag Lake, one of the highest drive-to lakes in California. Short approaches to multiple beautiful lakes.",37.9678,-119.2789,easy,3,800,10100,"https://www.recreation.gov/permits/445856",rolling,180,07:00,8,"Saddlebag Lake","Hoover Wilderness permit. Water taxi available across Saddlebag Lake. Bear canister REQUIRED. High altitude - acclimate first.","https://www.alltrails.com/trail/us/california/20-lakes-basin"
"Lake Virginia","Eastern Sierra - John Muir Wilderness","A beautiful lake along the John Muir Trail between Purple Lake and Tully Hole. Excellent camping with mountain views and access to Fish Creek hot springs.",37.4789,-118.9012,moderate,9.5,3500,10300,"https://www.recreation.gov/permits/233262",rolling,182,07:00,5,"Duck Pass","Inyo National Forest permit. On the JMT south of Purple Lake. Bear canister REQUIRED. Fish Creek hot springs nearby.",
"Matterhorn Canyon","Yosemite Wilderness","A remote and spectacular canyon in northern Yosemite with stunning views of Matterhorn Peak. Less traveled than other Yosemite destinations.",38.0912,-119.3789,strenuous,10,3200,9400,"https://www.recreation.gov/permits/445859",rolling,168,07:00,5,"Twin Lakes","Yosemite Wilderness permit via Twin Lakes. Remote and challenging. Bear canister REQUIRED. Multi-day trip recommended.",
